"","IndivID","Species","CommonName","FL_cm","TL_cm","Weight_g","Sex","Date","FishingType","d13C","d15N","d34S","d34S_SD","WT.S","WT.S_SD","CN","Notes","Week","Rack"
"824","GB9-5-4-S","Gobiosoma bosc","Naked Goby",NA,1.4,0.01,NA,"8/17/23","Seine",-16.46,14.13,NA,NA,NA,NA,3.31917716,NA,"5","4"
"825","GS1-12-4-S","Gobiesox strumosus","Skilletfish",NA,1.5,0.07,NA,"10/4/23","Seine",-18.42,13.28,NA,NA,NA,NA,3.9,NA,"12","4"
"826","HH1-12-3-S","Hypsoblennius hentz","Feather Blenny",NA,6.4,3.58,NA,"10/4/23","Seine",-16.89,14.9,NA,NA,NA,NA,3.3,NA,"12","3"
"827","IO1-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,1.8,1.03,NA,"7/26/23","Seine",-15.58,11.86,NA,NA,NA,NA,4.00482354,NA,"2","4"
"828","IO10-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,NA,NA,NA,"7/26/23","Seine",-13.81,12.62,NA,NA,NA,NA,3.73245479,NA,"2","4"
"829","IO2-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,1.2,0.5,NA,"7/26/23","Seine",-13.79,13.2,NA,NA,NA,NA,3.84570032,NA,"2","4"
"830","IO3-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,1.5,0.89,NA,"7/26/23","Seine",-13.64,13.63,NA,NA,NA,NA,3.63202761,NA,"2","4"
"831","IO4-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,0.9,0.22,NA,"7/26/23","Seine",-14.26,11.77,NA,NA,NA,NA,4.84706275,NA,"2","4"
"832","IO5-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,1.3,0.59,NA,"7/26/23","Seine",-14.11,12.96,NA,NA,NA,NA,3.99859513,NA,"2","4"
"833","IO6-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,1,0.22,NA,"7/26/23","Seine",-13.71,13.4,NA,NA,NA,NA,3.72046081,NA,"2","4"
"834","IO7-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,1.6,0.73,NA,"7/26/23","Seine",-14.05,12.48,NA,NA,NA,NA,4.15130179,NA,"2","4"
"835","IO8-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,1.6,0.82,NA,"7/26/23","Seine",-15.23,12.41,NA,NA,NA,NA,3.97072041,NA,"2","4"
"836","IO9-2-4-S","Ilyanassa obsoleta","Mud Snail",NA,1.3,0.58,NA,"7/26/23","Seine",-14.01,12.8,NA,NA,NA,NA,4.04370694,NA,"2","4"
"837","LG1-12-4-S","Lutjanus griseus","Gray Snapper",NA,6.2,5.39,NA,"10/4/23","Seine",-17.42,14.32,NA,NA,NA,NA,3.3,NA,"12","4"
"838","LG1-5-4-S","Lutjanus griseus","Gray Snapper",NA,2,0.13,NA,"8/17/23","Seine",-18.18,9.86,NA,NA,NA,NA,3.36862088,NA,"5","4"
"839","LG2-5-4-S","Lutjanus griseus","Gray Snapper",NA,3.1,0.43,NA,"8/17/23","Seine",-17.21,11.93,NA,NA,NA,NA,3.31234101,NA,"5","4"
"840","LG3-5-4-S","Lutjanus griseus","Gray Snapper",NA,3.7,0.83,NA,"8/17/23","Seine",-16.65,13.83,NA,NA,NA,NA,3.31825779,NA,"5","4"
"841","LG4-5-4-S","Lutjanus griseus","Gray Snapper",NA,4.7,1.81,NA,"8/17/23","Seine",-16.47,14.42,NA,NA,NA,NA,3.28662125,NA,"5","4"
"842","LX1-2-1-S","Leiostomus xanthurus","Spot","11",11.5,19.85,NA,"7/26/23","Seine",-14.79,11.54,3.73,0.78,1.311,0.017,3.1,NA,"2","1"
"843","LX1-2-2-S","Leiostomus xanthurus","Spot","8.1",8.5,7.43,NA,"7/26/23","Seine",-16.64,13.12,NA,NA,NA,NA,3.2,NA,"2","2"
"844","LX2-2-1-S","Leiostomus xanthurus","Spot","12.1",13,28.41,NA,"7/26/23","Seine",-20.34,13.72,7.64,0.79,1.213,0.015,3.1,NA,"2","1"
"845","LX2-2-2-S","Leiostomus xanthurus","Spot","7.9",8.3,8.09,NA,"7/26/23","Seine",-16.69,14.34,NA,NA,NA,NA,3.2,NA,"2","2"
"846","LX3-2-2-S","Leiostomus xanthurus","Spot","7.4",7.8,6.51,NA,"7/26/23","Seine",-16.23,13.23,NA,NA,NA,NA,3.2,NA,"2","2"
"847","MC1-12-1-S","Mugil curema","White Mullet","13",15.9,41.14,NA,"10/4/23","Seine",-17.24,3.71,NA,NA,NA,NA,3.3,NA,"12","1"
"848","MS1-12-1-S","Menidia spp.","Silverside",NA,NA,NA,NA,"10/4/23","Seine",-17.16,14.1,NA,NA,NA,NA,3.3,NA,"12","1"
"849","MS1-12-2-S","Menidia spp.","Silverside","5.2",5.5,0.96,NA,"10/4/23","Seine",-17.43,13.6,NA,NA,NA,NA,3.3,NA,"12","2"
"850","MS1-12-3-S","Menidia spp.","Silverside","8.4",9,4.02,NA,"10/4/23","Seine",-17.53,14.14,NA,NA,NA,NA,3.3,NA,"12","3"
"851","MS1-12-4-S","Menidia spp.","Silverside","8.8",9.4,4.64,NA,"10/4/23","Seine",-17.68,13.94,NA,NA,NA,NA,3.3,NA,"12","4"
"852","MS1-2-1-S","Menidia spp.","Silverside","2.9",3.2,0.22,NA,"7/26/23","Seine",-18.11,13.8,NA,NA,NA,NA,3.3,NA,"2","1"
"853","MS1-2-2-S","Menidia spp.","Silverside","2.3",2.6,0.07,NA,"7/26/23","Seine",-18.84,13.52,NA,NA,NA,NA,3.4,NA,"2","2"
"854","MS1-2-4-S","Menidia spp.","Silverside","3.1",3.4,0.2,NA,"7/26/23","Seine",-17.12,12.89,NA,NA,NA,NA,3.3,NA,"2","4"
"855","MS1-5-1-S","Menidia spp.","Silverside","8.5",9.1,4.23,NA,"8/17/23","Seine",-17.35,13.4,NA,NA,NA,NA,3.2298326,NA,"5","1"
"856","MS10-12-1-S","Menidia spp.","Silverside","4.8",5,0.79,NA,"10/4/23","Seine",-17.5,14.77,NA,NA,NA,NA,3.3,NA,"12","1"
"857","MS10-12-2-S","Menidia spp.","Silverside","7.1",7.7,2.64,NA,"10/4/23","Seine",-17.5,13.67,NA,NA,NA,NA,3.3,NA,"12","2"
"858","MS10-12-3-S","Menidia spp.","Silverside","7.8",8.5,3.44,NA,"10/4/23","Seine",-17.86,14.11,NA,NA,NA,NA,3.2,NA,"12","3"
"859","MS10-12-4-S","Menidia spp.","Silverside","5.9",6.3,1.64,NA,"10/4/23","Seine",-17.41,14.57,NA,NA,NA,NA,3.3,NA,"12","4"
"860","MS10-2-1-S","Menidia spp.","Silverside","7.7",8.1,3,NA,"7/26/23","Seine",-17.04,13.64,NA,NA,NA,NA,3.3,NA,"2","1"
"861","MS10-2-2-S","Menidia spp.","Silverside","10.3",11,8.08,NA,"7/26/23","Seine",-18.09,13.89,NA,NA,NA,NA,3.3,NA,"2","2"
"862","MS10-5-1-S","Menidia spp.","Silverside","7.9",8.5,3.3,NA,"8/17/23","Seine",-16.98,13.34,NA,NA,NA,NA,3.25538139,NA,"5","1"
"863","MS2-12-1-S","Menidia spp.","Silverside","6.7",7.3,2.41,NA,"10/4/23","Seine",-17.02,14.1,NA,NA,NA,NA,3.4,NA,"12","1"
"864","MS2-12-2-S","Menidia spp.","Silverside","4.5",4.8,0.61,NA,"10/4/23","Seine",-17.79,14.7,NA,NA,NA,NA,3.4,NA,"12","2"
"865","MS2-12-3-S","Menidia spp.","Silverside","6.8",7.4,2.31,NA,"10/4/23","Seine",-17.73,14.85,NA,NA,NA,NA,3.3,NA,"12","3"
"866","MS2-12-4-S","Menidia spp.","Silverside","5.2",5.7,1.02,NA,"10/4/23","Seine",-17.61,14.98,NA,NA,NA,NA,3.3,NA,"12","4"
"867","MS2-2-1-S","Menidia spp.","Silverside","3.7",4.1,0.47,NA,"7/26/23","Seine",-17.52,13.3,NA,NA,NA,NA,3.3,NA,"2","1"
"868","MS2-2-2-S","Menidia spp.","Silverside","3",3.2,0.18,NA,"7/26/23","Seine",-17.4,13.02,NA,NA,NA,NA,3.3,NA,"2","2"
"869","MS2-5-1-S","Menidia spp.","Silverside","7.3",7.9,2.61,NA,"8/17/23","Seine",-18.73,13.52,NA,NA,NA,NA,3.27322925,NA,"5","1"
"870","MS3-12-1-S","Menidia spp.","Silverside","5.1",5.5,0.87,NA,"10/4/23","Seine",-17.65,14.51,NA,NA,NA,NA,3.4,NA,"12","1"
"871","MS3-12-2-S","Menidia spp.","Silverside","5",5.4,0.87,NA,"10/4/23","Seine",-17.58,15.05,NA,NA,NA,NA,3.3,NA,"12","2"
"872","MS3-12-3-S","Menidia spp.","Silverside","5.8",6.1,1.16,NA,"10/4/23","Seine",-17.54,15.08,NA,NA,NA,NA,3.3,NA,"12","3"
"873","MS3-12-4-S","Menidia spp.","Silverside","6.5",7,1.87,NA,"10/4/23","Seine",-17.54,14.57,NA,NA,NA,NA,3.3,NA,"12","4"
"874","MS3-2-1-S","Menidia spp.","Silverside","4.1",4.4,0.55,NA,"7/26/23","Seine",-18.27,13.78,NA,NA,NA,NA,3.3,NA,"2","1"
"875","MS3-2-2-S","Menidia spp.","Silverside","4.2",4.4,0.58,NA,"7/26/23","Seine",-17.14,14.1,NA,NA,NA,NA,3.4,NA,"2","2"
"876","MS3-5-1-S","Menidia spp.","Silverside","7.6",8.4,3.48,NA,"8/17/23","Seine",-17.07,13.89,NA,NA,NA,NA,3.25147285,NA,"5","1"
"877","MS4-12-1-S","Menidia spp.","Silverside","5.7",6.1,1.21,NA,"10/4/23","Seine",-17.07,13.87,NA,NA,NA,NA,3.4,NA,"12","1"
"878","MS4-12-2-S","Menidia spp.","Silverside","4.9",5.3,0.87,NA,"10/4/23","Seine",-17.71,14.75,NA,NA,NA,NA,3.3,NA,"12","2"
"879","MS4-12-3-S","Menidia spp.","Silverside","5.6",6.2,1.19,NA,"10/4/23","Seine",-18.07,14.19,NA,NA,NA,NA,3.3,NA,"12","3"
"880","MS4-12-4-S","Menidia spp.","Silverside","5",5.4,0.87,NA,"10/4/23","Seine",-17.37,14.89,NA,NA,NA,NA,3.3,NA,"12","4"
"881","MS4-2-1-S","Menidia spp.","Silverside","3.9",4.1,0.46,NA,"7/26/23","Seine",-17.74,14.1,NA,NA,NA,NA,3.5,NA,"2","1"
"882","MS4-2-2-S","Menidia spp.","Silverside","5",5.3,1.05,NA,"7/26/23","Seine",-17.97,13.93,NA,NA,NA,NA,3.3,NA,"2","2"
"883","MS4-5-1-S","Menidia spp.","Silverside","6.2",6.5,1.63,NA,"8/17/23","Seine",-17.85,14.56,NA,NA,NA,NA,3.29982418,NA,"5","1"
"884","MS5-12-1-S","Menidia spp.","Silverside","6.1",6.6,2.05,NA,"10/4/23","Seine",-16.71,13.6,NA,NA,NA,NA,3.4,NA,"12","1"
"885","MS5-12-2-S","Menidia spp.","Silverside","5.2",5.5,0.96,NA,"10/4/23","Seine",-14.33,12.6,NA,NA,NA,NA,3.3,NA,"12","2"
"886","MS5-12-3-S","Menidia spp.","Silverside","8.1",8.6,3.36,NA,"10/4/23","Seine",-17.52,14.68,NA,NA,NA,NA,3.3,NA,"12","3"
"887","MS5-12-4-S","Menidia spp.","Silverside","5.8",6.3,1.37,NA,"10/4/23","Seine",-17.89,14.94,NA,NA,NA,NA,3.3,NA,"12","4"
"888","MS5-2-1-S","Menidia spp.","Silverside","5",5.3,0.92,NA,"7/26/23","Seine",-17.39,14.24,NA,NA,NA,NA,3.3,NA,"2","1"
"889","MS5-2-2-S","Menidia spp.","Silverside","6",6.5,1.9,NA,"7/26/23","Seine",-18.17,13.68,NA,NA,NA,NA,3.3,NA,"2","2"
"890","MS5-5-1-S","Menidia spp.","Silverside","7",7.4,2.35,NA,"8/17/23","Seine",-17.82,13.66,NA,NA,NA,NA,3.27051106,NA,"5","1"
"891","MS6-12-1-S","Menidia spp.","Silverside","7",7.5,2.53,NA,"10/4/23","Seine",-17.12,14.92,NA,NA,NA,NA,3.3,NA,"12","1"
"892","MS6-12-2-S","Menidia spp.","Silverside","5.1",5.3,0.97,NA,"10/4/23","Seine",-17.8,14.35,NA,NA,NA,NA,3.3,NA,"12","2"
"893","MS6-12-3-S","Menidia spp.","Silverside","5.7",6.1,1.22,NA,"10/4/23","Seine",-17.26,14.94,NA,NA,NA,NA,3.3,NA,"12","3"
"894","MS6-12-4-S","Menidia spp.","Silverside","5.9",5.3,0.77,NA,"10/4/23","Seine",-17.61,14.69,NA,NA,NA,NA,3.3,NA,"12","4"
"895","MS6-2-1-S","Menidia spp.","Silverside","5.8",6.3,1.51,NA,"7/26/23","Seine",-18.42,13.82,NA,NA,NA,NA,3.3,NA,"2","1"
"896","MS6-2-2-S","Menidia spp.","Silverside","3.5",3.7,0.31,NA,"7/26/23","Seine",-18.53,13.84,NA,NA,NA,NA,3.3,NA,"2","2"
"897","MS6-5-1-S","Menidia spp.","Silverside","5.1",5.4,0.9,NA,"8/17/23","Seine",-16.9,14.14,NA,NA,NA,NA,3.32356914,NA,"5","1"
"898","MS7-12-1-S","Menidia spp.","Silverside","6.2",6.6,1.72,NA,"10/4/23","Seine",-17.5,14.55,NA,NA,NA,NA,3.4,NA,"12","1"
"899","MS7-12-2-S","Menidia spp.","Silverside","6.2",6.6,1.64,NA,"10/4/23","Seine",-17.37,14.72,NA,NA,NA,NA,3.3,NA,"12","2"
"900","MS7-12-3-S","Menidia spp.","Silverside","5.8",6.2,1.28,NA,"10/4/23","Seine",-17.81,14.39,NA,NA,NA,NA,3.3,NA,"12","3"
"901","MS7-12-4-S","Menidia spp.","Silverside","6.7",7.3,1.73,NA,"10/4/23","Seine",-17.97,14.22,NA,NA,NA,NA,3.3,NA,"12","4"
"902","MS7-2-1-S","Menidia spp.","Silverside","7.4",8,3.33,NA,"7/26/23","Seine",-17.43,13.86,NA,NA,NA,NA,3.3,NA,"2","1"
"903","MS7-2-2-S","Menidia spp.","Silverside","7.1",7.6,2.79,NA,"7/26/23","Seine",-17.92,12.51,NA,NA,NA,NA,3.3,NA,"2","2"
"904","MS7-5-1-S","Menidia spp.","Silverside","7.6",8.1,3.12,NA,"8/17/23","Seine",-18.16,14.98,NA,NA,NA,NA,3.15883773,NA,"5","1"
"905","MS8-12-1-S","Menidia spp.","Silverside","5.1",6,1.35,NA,"10/4/23","Seine",-17.39,14.73,NA,NA,NA,NA,3.3,NA,"12","1"
"906","MS8-12-2-S","Menidia spp.","Silverside","6.8",7.4,2.16,NA,"10/4/23","Seine",-17.96,13.65,NA,NA,NA,NA,3.3,NA,"12","2"
"907","MS8-12-3-S","Menidia spp.","Silverside","6.1",6.6,1.53,NA,"10/4/23","Seine",-17.51,14.67,NA,NA,NA,NA,3.3,NA,"12","3"
"908","MS8-12-4-S","Menidia spp.","Silverside","6.6",7,2.02,NA,"10/4/23","Seine",-17.44,14.14,NA,NA,NA,NA,3.3,NA,"12","4"
"909","MS8-2-1-S","Menidia spp.","Silverside","6.5",7,1.96,NA,"7/26/23","Seine",-18.12,14.16,NA,NA,NA,NA,3.3,NA,"2","1"
"910","MS8-2-2-S","Menidia spp.","Silverside","9.1",9.9,5.2,NA,"7/26/23","Seine",-18.82,14.53,NA,NA,NA,NA,3.2,NA,"2","2"
"911","MS8-5-1-S","Menidia spp.","Silverside","7.5",8.1,3.26,NA,"8/17/23","Seine",-16.79,13.64,NA,NA,NA,NA,3.27782899,NA,"5","1"
"912","MS9-12-1-S","Menidia spp.","Silverside","4.7",5,0.74,NA,"10/4/23","Seine",-17.76,14.94,NA,NA,NA,NA,3.4,NA,"12","1"
"913","MS9-12-2-S","Menidia spp.","Silverside","5.8",6.2,1.49,NA,"10/4/23","Seine",-17.68,14.93,NA,NA,NA,NA,3.3,NA,"12","2"
"914","MS9-12-3-S","Menidia spp.","Silverside","6.7",7.2,1.99,NA,"10/4/23","Seine",-17.99,13.67,NA,NA,NA,NA,3.3,NA,"12","3"
"915","MS9-12-4-S","Menidia spp.","Silverside","5.7",6.2,1.37,NA,"10/4/23","Seine",-17.76,14.29,NA,NA,NA,NA,3.3,NA,"12","4"
"916","MS9-2-1-S","Menidia spp.","Silverside","7.1",7.7,2.91,NA,"7/26/23","Seine",-17.2,13.29,NA,NA,NA,NA,3.3,NA,"2","1"
"917","MS9-2-2-S","Menidia spp.","Silverside","10",10.8,1.06,NA,"7/26/23","Seine",-17.43,14.86,NA,NA,NA,NA,3.2,NA,"2","2"
"918","MS9-5-1-S","Menidia spp.","Silverside","5.2",5.6,1.06,NA,"8/17/23","Seine",-17.69,14.04,NA,NA,NA,NA,3.30478077,NA,"5","1"
"919","MU1-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,NA,NA,NA,"10/4/23","Seine",-16.8,14.46,NA,NA,NA,NA,3.6,NA,"12","1"
"920","MU1-12-2-S","Micropogonias undulatus","Atlantic Croaker",NA,1.9,0.04,NA,"10/4/23","Seine",-15.87,14.26,NA,NA,NA,NA,3.2,NA,"12","2"
"921","MU1-12-3-S","Micropogonias undulatus","Atlantic Croaker",NA,2.9,0.2,NA,"10/4/23","Seine",-17.12,15.19,NA,NA,NA,NA,3.4,NA,"12","3"
"922","MU1-12-4-S","Micropogonias undulatus","Atlantic Croaker",NA,2.3,0.09,NA,"10/4/23","Seine",-17.24,14.26,NA,NA,NA,NA,3.7,NA,"12","4"
"923","MU10-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,2.8,0.17,NA,"10/4/23","Seine",-16.98,15.44,NA,NA,NA,NA,3.4,NA,"12","1"
"924","MU2-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,3.5,0.37,NA,"10/4/23","Seine",-16.31,15.77,NA,NA,NA,NA,3.4,NA,"12","1"
"925","MU2-12-3-S","Micropogonias undulatus","Atlantic Croaker",NA,2,0.08,NA,"10/4/23","Seine",-17.27,15.4,NA,NA,NA,NA,3.3,NA,"12","3"
"926","MU3-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,1.9,0.07,NA,"10/4/23","Seine",-16.92,15.48,NA,NA,NA,NA,3.3,NA,"12","1"
"927","MU3-12-4-S","Micropogonias undulatus","Atlantic Croaker",NA,2.3,0.11,NA,"10/4/23","Seine",-16.7,14.88,NA,NA,NA,NA,3.3,NA,"12","4"
"928","MU4-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,2.4,0.13,NA,"10/4/23","Seine",-16.84,15.58,NA,NA,NA,NA,3.3,NA,"12","1"
"929","MU4-12-4-S","Micropogonias undulatus","Atlantic Croaker",NA,2.7,0.16,NA,"10/4/23","Seine",-16.68,15.23,NA,NA,NA,NA,3.5,NA,"12","4"
"1071","MU5-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,1.6,0.04,NA,"10/4/23","Seine",-16.97,15.13,NA,NA,NA,NA,3.7,NA,"12","1"
"1072","MU5-12-4-S","Micropogonias undulatus","Atlantic Croaker",NA,3.6,0.36,NA,"10/4/23","Seine",-16.77,15.07,NA,NA,NA,NA,3.5,NA,"12","4"
"1073","MU6-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,2.3,0.07,NA,"10/4/23","Seine",-15.69,15.44,NA,NA,NA,NA,3.3,NA,"12","1"
"1074","MU7-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,2,0.1,NA,"10/4/23","Seine",-17.66,15.61,NA,NA,NA,NA,3.4,NA,"12","1"
"1075","MU8-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,1.9,0.09,NA,"10/4/23","Seine",-16.67,14.77,NA,NA,NA,NA,3.3,NA,"12","1"
"1076","MU9-12-1-S","Micropogonias undulatus","Atlantic Croaker",NA,2.3,0.08,NA,"10/4/23","Seine",-16.54,15.1,NA,NA,NA,NA,3.4,NA,"12","1"
"1077","OC1-12-1-S","Orthopristis chrysoptera","Pigfish","10.3",11.3,22.58,NA,"10/4/23","Seine",-17.13,13.75,NA,NA,NA,NA,3.3,NA,"12","1"
"1078","OC1-12-2-S","Orthopristis chrysoptera","Pigfish",NA,NA,NA,NA,"10/4/23","Seine",-17.07,13.78,NA,NA,NA,NA,3.2,NA,"12","2"
"1079","OC1-2-2-S","Orthopristis chrysoptera","Pigfish",NA,2.2,0.11,NA,"7/26/23","Seine",-18.27,14.18,NA,NA,NA,NA,3.5,NA,"2","2"
"1080","OC1-5-1-S","Orthopristis chrysoptera","Pigfish","2.4",2.5,0.19,NA,"8/17/23","Seine",-18.26,13.84,NA,NA,NA,NA,3.23812962,NA,"5","1"
"1081","OC1-5-2-S","Orthopristis chrysoptera","Pigfish","4.8",5.2,1.85,NA,"8/17/23","Seine",-17.92,14.52,NA,NA,NA,NA,3.24463998,NA,"5","2"
"1082","OC1-5-4-S","Orthopristis chrysoptera","Pigfish",NA,2.1,0.09,NA,"8/17/23","Seine",-17.56,13.3,NA,NA,NA,NA,3.08465012,NA,"5","4"
"1083","OC2-2-2-S","Orthopristis chrysoptera","Pigfish",NA,2.6,0.2,NA,"7/26/23","Seine",-17.61,14.37,NA,NA,NA,NA,3.3,NA,"2","2"
"1084","OC2-5-1-S","Orthopristis chrysoptera","Pigfish","2.2",2.3,0.13,NA,"8/17/23","Seine",-17.85,13.58,NA,NA,NA,NA,3.21668593,NA,"5","1"
"1089","PC1-5-2-S","Pogonias cromis","Black Drum",NA,14.1,39.42,NA,"8/17/23","Seine",-18.21,14.85,9.83,0.75,1.332,0.017,3.12662059,NA,"5","2"
"1090","PD1-5-4-S","Paralichthys dentatus","Summer Flounder",NA,18.8,65.61,NA,"8/17/23","Seine",-16.09,14.13,13.43,0.74,1.194,0.011,3.15547911,NA,"5","4"
"1091","PH1-2-4-S","Panopeus herbstii","Mud Crab",NA,0.8,0.11,NA,"7/26/23","Seine",-16.05,9.09,NA,NA,NA,NA,4.81170692,NA,"2","4"
"1092","PH2-2-4-S","Panopeus herbstii","Mud Crab",NA,0.8,0.16,NA,"7/26/23","Seine",-16.1,9.55,NA,NA,NA,NA,4.57778087,NA,"2","4"
"1093","PH3-2-4-S","Panopeus herbstii","Mud Crab",NA,0.6,0.06,NA,"7/26/23","Seine",-15.66,11.94,NA,NA,NA,NA,4.06963342,NA,"2","4"
"1094","PH4-2-4-S","Panopeus herbstii","Mud Crab",NA,0.8,0.05,NA,"7/26/23","Seine",-16.26,11.23,NA,NA,NA,NA,4.17113689,NA,"2","4"
"1095","PH5-2-4-S","Panopeus herbstii","Mud Crab",NA,0.7,0.08,NA,"7/26/23","Seine",-16.17,10.57,NA,NA,NA,NA,4.30552843,NA,"2","4"
"1096","PS1-2-4-S","Pagurus sp.","Hermit Crab",NA,2.5,0.12,NA,"7/26/23","Seine",-16.86,9.39,NA,NA,NA,NA,4.31357023,NA,"2","4"
"1097","PS2-2-4-S","Pagurus sp.","Hermit Crab",NA,2.1,0.09,NA,"7/26/23","Seine",-15.36,9.39,NA,NA,NA,NA,4.46612093,NA,"2","4"
"1098","PS3-2-1-S","Pagurus sp.","Hermit Crab",NA,1.9,0.08,NA,"7/26/23","Seine",-15.39,8.98,NA,NA,NA,NA,4.25236845,NA,"2","1"
"1099","PS3-2-4-S","Pagurus sp.","Hermit Crab",NA,2.6,0.16,NA,"7/26/23","Seine",-14.91,8.79,NA,NA,NA,NA,4.82552209,NA,"2","4"
"1100","PS4-2-1-S","Pagurus sp.","Hermit Crab",NA,3,0.22,NA,"7/26/23","Seine",-16.79,10.98,NA,NA,NA,NA,4.01983347,NA,"2","1"
"1101","PS6-2-1-S","Pagurus sp.","Hermit Crab",NA,1.8,0.06,NA,"7/26/23","Seine",-16.01,8.84,NA,NA,NA,NA,4.30120376,NA,"2","1"
"1102","PS7-2-1-S","Pagurus sp.","Hermit Crab",NA,1.6,0.05,NA,"7/26/23","Seine",-16.14,7.5,NA,NA,NA,NA,4.43092785,NA,"2","1"
"1103","PS7-2-4-S","Pagurus sp.","Hermit Crab",NA,2.7,0.19,NA,"7/26/23","Seine",-16.28,9.58,NA,NA,NA,NA,4.31643174,NA,"2","4"
"1104","PS8-2-4-S","Pagurus sp.","Hermit Crab",NA,2.3,0.12,NA,"7/26/23","Seine",-15.9,6.75,NA,NA,NA,NA,4.56481057,NA,"2","4"
"1105","PS9-2-4-S","Pagurus sp.","Hermit Crab",NA,1.2,0.06,NA,"7/26/23","Seine",-14.98,8.21,NA,NA,NA,NA,4.54799271,NA,"2","4"
"1106","PV10-2-2-S","Palaemon vulgaris","Grass Shrimp",NA,1.8,0.05,NA,"7/26/23","Seine",-16.34,10.67,NA,NA,NA,NA,3.24650593,NA,"2","2"
"1107","PV3-2-4-S","Palaemon vulgaris","Grass Shrimp",NA,3.7,0.49,NA,"7/26/23","Seine",-16.29,14.05,NA,NA,NA,NA,3.41000825,NA,"2","4"
"1108","PV5-2-1-S","Palaemon vulgaris","Grass Shrimp",NA,2.4,0.11,NA,"7/26/23","Seine",-18.37,12.79,NA,NA,NA,NA,3.53245407,NA,"2","1"
"1109","PV5-2-2-S","Palaemon vulgaris","Grass Shrimp",NA,1.9,0.07,NA,"7/26/23","Seine",-16.38,11.82,NA,NA,NA,NA,3.45204308,NA,"2","2"
"1110","PV6-2-1-S","Palaemon vulgaris","Grass Shrimp",NA,2.6,0.15,NA,"7/26/23","Seine",-17.34,11.76,NA,NA,NA,NA,3.46048052,NA,"2","1"
"1111","PV6-2-2-S","Palaemon vulgaris","Grass Shrimp",NA,2.1,0.09,NA,"7/26/23","Seine",-15.48,10.22,NA,NA,NA,NA,3.40247061,NA,"2","2"
"1112","PV6-2-4-S","Palaemon vulgaris","Grass Shrimp",NA,1.9,0.05,NA,"7/26/23","Seine",NA,NA,NA,NA,NA,NA,4.81665233,NA,"2","4"
"1113","PV7-2-1-S","Palaemon vulgaris","Grass Shrimp",NA,2.1,0.14,NA,"7/26/23","Seine",-15.07,10.11,NA,NA,NA,NA,3.43382661,NA,"2","1"
"1114","PV7-2-4-S","Palaemon vulgaris","Grass Shrimp",NA,3,0.18,NA,"7/26/23","Seine",-17.26,14,NA,NA,NA,NA,3.55706118,NA,"2","4"
"1115","PV8-2-4-S","Palaemon vulgaris","Grass Shrimp",NA,2.7,0.2,NA,"7/26/23","Seine",-16.09,11.7,NA,NA,NA,NA,3.37120785,NA,"2","4"
"1116","SF1-12-4-S","Syngnathus fuscus","Northern Pipefish",NA,8.8,0.23,NA,"10/4/23","Seine",-17.46,14.51,NA,NA,NA,NA,3.5,NA,"12","4"
"1117","SF1-5-3-S","Syngnathus fuscus","Northern Pipefish",NA,6.2,1.25,NA,"8/17/23","Seine",-16.48,13.69,NA,NA,NA,NA,3.20693444,NA,"5","3"
"1118","SF1-5-4-S","Syngnathus fuscus","Northern Pipefish",NA,15.4,0.84,NA,"8/17/23","Seine",-18.04,12.13,NA,NA,NA,NA,3.27578749,NA,"5","4"
"1119","SF2-12-4-S","Syngnathus fuscus","Northern Pipefish",NA,9.7,0.32,NA,"10/4/23","Seine",-15.26,12.79,NA,NA,NA,NA,3.3,NA,"12","4"
"1120","SF2-5-3-S","Syngnathus fuscus","Northern Pipefish",NA,7.3,1.73,NA,"8/17/23","Seine",-16.15,13.82,NA,NA,NA,NA,3.3227844,NA,"5","3"
"1121","SF2-5-4-S","Syngnathus fuscus","Northern Pipefish",NA,16.2,1.59,NA,"8/17/23","Seine",-16.12,13.58,NA,NA,NA,NA,3.32451125,NA,"5","4"
"1122","SF3-12-4-S","Syngnathus fuscus","Northern Pipefish",NA,10,0.33,NA,"10/4/23","Seine",-15.99,13.46,NA,NA,NA,NA,3.3,NA,"12","4"
"1123","SF4-12-4-S","Syngnathus fuscus","Northern Pipefish",NA,14.6,1.36,NA,"10/4/23","Seine",-15.6,13.45,NA,NA,NA,NA,3.3,NA,"12","4"
